word,frequency
apatnakwarto,1
apatnapu,1
apatnapung,3
apatnaput,2
apatnaputapat,1
apatnaputlima,1
apatnatalampakang,1
apeksiyon,1
apektado,12
apektadong,11
apekto,3
apela,9
apelyido,4
apganistan,1
aphec,1
apheca,1
apila,3
apilyedo,1
apirak,1
aplaya,5
aplikasyon,4
aplikasyong,1
apokalipse,1
apolinario,1
apolkeyk,1
apong,1
apor,1
apoy,52
aprika,14
aprikano,4
aprub,2
apruba,1
aprubahan,5
apulain,1
aqusa,1
arabisrael,1
arabya,3
araceo,2
aralin,7
araling,7
arangkada,2
aranyaka,1
araruhin,1
arawang,2
arawaraw,54
arawin,1
aray,4
arbathita,1
arbita,1
arbitraryong,1
archiekins,1
aregawi,1
areglo,1
areni,2
arestado,2
arestadong,1
aresto,1
arestuhin,4
arethas,1
arfaxjad,1
argumentong,1
arhentina,1
ariarian,23
aridatha,1
ariph,1
arisse,1
aristokratiko,1
aristoxenus,1
arkeologo,1
arkeolohista,1
arkeyologo,1
arkitekto,1
arkitektura,5
arkitekturang,1
armadong,8
armeniaazerbaijangeorgia,1
armenianazerbaijani,1
armenya,1
armonya,1
arnan,1
arogo,1
arorita,1
aroskaldo,1
arowen,3
arphaxad,1
arsobispo,1
arteng,2
artikulo,35
artikulong,4
artipakto,1
artipisyal,6
artistahin,2
artistang,1
artistarotflmao,1
artistikong,1
aruga,1
arvadeo,1
asaan,1
asadong,1
asahan,6
asahang,2
asaness,1
asang,1
asaran,1
asargadda,1
asarin,2
asasinasyon,2
asawang,7
asecha,1
asembleya,1
asembleyang,1
asembli,1
asembliya,1
asena,1
asensado,1
asersyon,1
asheri,1
ashermans,2
ashtma,1
asianong,1
asido,3
asignaturang,8
asikasuhin,1
asinggamit,1
askal,1
askul,1
asno,5
asong,29
asorhadatta,1
asosasyon,9
asosyonismo,1
asot,1
aspekto,1
aspektong,2
aspeto,4
aspetong,1
asphatha,1
assafi,1
assahab,1
asskissers,1
asssuss,1
assumera,1
assumero,1
astakhov,1
asteroyd,3
astrobiyolohista,1
astrolohiya,1
astronimya,1
astronomiya,23
astronomiyang,1
asub,1
asukal,30
asul,21
asulkulayabo,1
asulto,1
asungot,1
aswang,7
asyana,1
asyang,1
asyano,5
asyatiko,2
asyenda,2
atake,31
atakehin,1
atakeng,2
atakihin,3
atalia,1
atang,7
atarktika,1
atarothsophan,1
atay,7
atbp,4
atbpng,1
atenean,2
atenista,1
atensiyon,3
atensyon,10
atensyong,1
ateyista,1
atilano,1
atlantika,3
atlantiko,4
atlantilka,1
atleta,12
atletang,1
atmospera,4
atmosperang,1
atomikong,1
atomo,1
atraksyon,3
atrasado,1
atrasadong,2
atraso,1
atsara,1
atsarang,1
atsempre,1
attai,1
attan,1
attuid,1
atupagin,1
aubonne,1
audyo,2
auring,1
australiaay,1
australoid,1
australya,51
australyana,2
australyang,1
australyano,9
australyanong,3
austriyano,1
austrohungary,1
austryang,1
automatiko,2
autonomiya,1
autralian,1
avies,1
avim,1
avvy,3
awading,1
awangawa,1
awatin,1
awayan,2
awayin,4
awdit,1
awgkp,1
awglca,1
awit,18
awitin,10
awiting,1
awstralya,2
awstriya,1
awtentisidad,1
awto,16
awtobiyograpiya,1
awtograp,1
awtoimyun,1
awtomatik,1
awtomatiko,1
awtomatikong,2
awtong,1
awtonomiya,1
awtopsiya,1
awtor,2
awtoridad,61
awtorisadong,6
awtorisasyon,1
axie,1
ayato,1
ayawan,1
ayick,1
aynalulunod,1
ayoko,64
ayokong,12
ayon,369
ayos,44
ayossss,1
aypinamunuan,1
ayskrim,9
aysti,1
ayudadecampo,1
ayus,1
ayusan,2
ayusim,1
ayusin,20
aywan,1
azareel,1
azarias,2
azces,1
azebaijan,1
azgad,1
azmaveth,3
aztra,1
b,23
baala,1
baalat,1
baalath,1
baana,1
bababa,66
bababasa,1
babaeang,1
babaemas,1
babaeng,56
babaero,1
babaerong,2
babaet,1
babaey,5
babago,1
babagsak,4
babaguhin,1
babahain,1
babahing,1
babaing,19
babainin,1
babala,69
babalaan,1
babalang,2
babalik,34
babalikan,1
babang,1
babanggitin,1
babangon,2
babantayan,4
babasahin,8
babash,1
babastos,1
babatahing,1
babatayin,1
babati,1
babaw,3
babawasan,1
babawi,1
babawiin,1
babayaran,12
babayarin,1
babaye,1
babaylan,1
babeng,1
babolgam,2
babols,1
baboy,46
babuyan,1
babyahe,2
babyalbiko,1
babyfats,1
babypowder,1
babytawan,1
backread,1
bacoor,4
bacordo,1
bacsilog,1
badghis,1
bading,11
badtrip,10
baduy,3
badya,2
badyet,18
baga,23
bagabagin,1
bagahe,7
bagal,6
bagalan,4
bagaman,35
bagamat,10
bagang,3
bagaybagay,7
bagbabawal,1
bagets,1
bagito,5
bagitoako,1
bagits,1
bagkus,1
bagobo,1
bagohan,1
bagon,4
bagonggawang,1
bagonghakot,1
bagoong,4
bagpapakamatay,1
bagpapalabas,1
bagsak,5
bagsakan,3
bagu,1
baguhang,1
baguhin,15
bagumbago,2
bagumbayan,1
bagwis,1
bagyo,87
bagyong,29
bagyonmg,1
bahaaaaaaaaa,1
bahag,2
bahagdan,1
bahaghari,7
bahagi,267
bahaging,9
bahagya,10
bahagyang,22
bahal,1
bahala,26
bahang,1
bahangdagat,2
bahanggang,1
baharumita,1
bahayaliwan,2
bahayampunan,1
bahayan,2
bahaybahayan,1
bahayhari,1
bahaykompyuter,1
bahaypaliguan,1
bahid,2
bahing,1
bahista,1
baho,5
bahrotfl,1
bahura,1
bainmarama,1
baitang,9
baitullah,3
bakahan,1
bakal,12
bakante,2
bakantehin,1
bakanteng,4
bakas,5
bakasakali,1
bakasyon,24
bakasyunan,3
bakat,2
bakawan,7
bakawang,1
bakero,1
baket,5
bakita,2
bakitt,1
bakkungaan,1
bakla,43
baklang,2
baklita,2
baklitang,1
bakod,10
bakokang,1
bakong,1
bakood,1
bakpak,1
bakteriya,2
bakterya,2
bakteryang,1
baktiriya,4
baktol,1
bakulaw,1
bakuna,26
bakuran,19
bakurang,1
balaan,1
balabag,1
balabal,1
balagtas,2
balagtasan,1
balahibo,3
balakang,1
balakid,2
balakin,1
balakubak,2
balang,9
balanga,3
balangkas,4
balani,1
balanse,2
balanseng,1
balasahan,1
balasubas,2
balat,33
balatan,2
balatukan,1
balaysung,1
balbal,1
balbolski,1
balbon,1
balbula,1
baleng,3
balentino,1
balewala,5
balewalain,2
balibagin,1
balibalita,1
balidong,1
baligtarin,4
baliin,1
balikan,8
balikat,8
balikbayad,1
balikbente,1
baliktad,3
baliktarin,1
baliktrabaho,1
balimbing,2
balinghoy,8
balingkinitan,2
balintawak,3
balistik,3
balitaan,2
balitakakatamad,1
balitang,9
balitsch,1
baliw,20
baliwag,1
balkonahe,2
balleny,1
balot,2
balota,16
balotang,1
balothanggang,1
baltiko,1
baluarte,1
baluga,2
baluktot,2
balurr,1
balutan,3
balyena,15
bampira,3
banaag,1
bananaq,1
bananaque,1
banayad,1
banciao,1
bandalismo,4
bandalismong,1
bandang,41
banderang,1
bandila,7
banez,4
bangag,1
bangga,1
banggaan,11
banggitin,4
banghay,1
bangibing,1
bangis,2
bangkang,1
bangkarota,5
bangkay,17
bangkero,1
bangketa,3
bangkito,1
bangkong,2
bangsilog,5
bangtan,4
bangungot,2
bangus,8
banig,2
baninay,1
bankang,3
banketa,2
banlawan,1
bannu,2
bansa,423
bansag,1
bansang,87
bantag,2
bantang,3
bantay,7
bantayan,12
bantayang,1
bantayog,2
bantog,3
bantutan,2
banyaga,4
banyagang,8
baog,3
baon,3
baoninam,1
bapor,12
barabida,1
barado,1
baradong,1
baragan,1
baraha,2
barakong,2
baraks,1
baranggay,9
barasoain,1
barayuga,1
barberyang,1
barbourula,1
bardagulan,3
barhumita,1
barikada,1
barilan,2
barilbarilan,1
bariles,11
barilin,4
barkadang,1
barkhan,1
barkilyos,7
barko,57
barkong,13
barometro,1
barotflmao,1
barrierssa,1
bartolli,1
barubal,1
barubaruan,1
barya,9
baryante,1
baryo,10
basag,4
basagin,1
basagolerows,1
basahan,1
basahin,42
basang,5
basangbasa,2
basbas,3
basbasan,1
basehan,12
basemilitar,2
baseng,1
basharal,1
bashary,1
bashfulrotflmao,1
bashura,1
basig,1
basikong,2
basketbol,1
basko,1
baso,20
basong,10
basot,1
bastabasta,2
bastat,2
bastusin,4
basurahan,2
basurahang,1
basurero,1
bataang,1
batabalonos,1
batabata,2
batac,1
batan,2
batas,248
batasan,2
batasangbansa,1
batastulangan,1
batawan,1
batay,19
batayan,21
baterya,4
bathum,4
batian,1
batid,4
batiin,8
batikan,1
batikang,1
batikos,7
batobato,4
batong,3
batongbakal,2
batubato,2
batugan,1
batuhan,1
batuhin,1
batuta,1
baubunarana,1
baugur,1
baunin,1
bautismo,1
bautismuhan,1
bawal,39
bawang,8
bawas,13
bawasan,21
bawat,174
bawatbawat,1
bawi,1
bawian,1
bawiin,7
bayaan,1
bayabas,3
bayad,43
bayadpinsala,1
bayadutang,1
bayag,3
bayagbag,1
bayang,19
bayaning,4
bayaran,22
bayarin,12
bayaring,1
bayaw,6
bayawak,1
bayawan,3
baybay,4
baybaydagat,1
baybayin,49
baybaying,6
baybayingdagat,1
baygon,1
baylateral,2
baynasyonal,1
bayolenteng,1
bayolohiya,5
bayong,1
bayrus,2
baytang,1
baywang,2
bbboi,1
bbmshit,1
bclisters,2
beachie,1
bealoth,1
bebai,1
bebenta,1
bebetime,1
bebreak,1
bebs,1
beeliada,1
beerday,1
beeroth,1
beerseba,4
beghe,2
behh,1
behikulo,1
behkahit,1
beijingguangzhou,1
beintisais,1
bekimon,1
beks,1
belam,1
belat,1
belbet,1
belift,1
beliza,1
belleyahsabihin,1
bellii,1
belyudong,1
bembemsmga,1
benaias,1
benaras,1
bendisyon,2
beneberac,1
benejaacan,2
benepisiyo,1
benepisyo,10
benguetlagi,1
benhakker,1
benhur,1
beninu,1
benta,14
bentables,1
bentahan,6
bentahe,1
benteng,1
bentilador,2
bentilasyon,1
bentong,1
bentrilokiya,1
benus,2
beomjun,1
beranda,13
berbal,1
berberabe,1
berde,19
berdeng,21
berdengsulat,1
bergwik,3
berhe,2
berilayt,1
berlusconiilang,1
bernakular,1
bernerslee,1
bernes,1
beroset,1
bersyon,14
bertdey,1
berverly,1
beses,146
bespren,6
bestida,6
bestiday,1
bestie,1
betabel,1
betchikolames,1
beterano,4
beteranong,1
beterinarya,1
beterinaryo,2
beterinaryong,2
betharaba,2
bethazmaveth,1
bethdiblathaim,1
bethgamul,1
bethmarchaboth,1
bethmeon,1
bethpasses,1
bethpelet,2
bethsur,1
bethtappua,1
bethzur,1
betkadoodledoo,1
betong,1
betulinic,1
beybi,6
beynte,3
beyondborders,3
beysbol,7
bezai,1
bgito,1
bhie,2
biach,1
biag,1
biaknabato,1
biangcake,1
bibe,2
bibig,35
bibigay,4
bibiguin,1
bibigyan,17
bibilang,1
bibilhin,10
bibili,22
bibilin,1
bibilis,1
bibingka,2
bibirthday,1
bibiruin,1
bibisita,6
bibisitahin,4
bibista,2
bibitaw,1
bibiyahe,1
bibliya,6
bicolnaga,1
bideyo,2
bidyeoke,1
bidyo,31
bidyoke,1
bidyong,1
bidyu,1
bieyernes,1
bigat,18
bigatin,1
bigay,7
bigayan,2
bigayhehe,1
bigfootsa,1
bigfudge,1
bigkas,1
bigkasin,1
bigla,36
biglaan,1
biglaang,13
biglain,2
biglang,64
biglangawa,1
bigong,4
bigote,2
bigvai,1
bigwasan,1
bigyan,47
bigyang,6
bigyangalam,1
bigyangarmas,1
bigyanwakas,1
bihag,18
bihasa,1
bihikulo,1
bihira,12
bihirang,8
bihis,1
bihisan,2
bihud,1
biik,2
bika,1
bikie,1
bikolano,2
biktima,85
biktimang,1
bikumbong,2
bilangan,1
bilanggo,25
bilanggong,2
bilangguan,19
bilangin,2
bilangrhiniodon,1
bilasang,1
bilat,2
bilayar,1
bilbord,1
bilga,2
bilgai,1
bilhan,4
bilhin,16
bilhini,1
bilibid,1
bilihin,9
bilis,58
bilisan,8
bilisbilis,1
bilog,19
bilonggo,1
bilot,1
bilubilo,1
bilugan,1
bilyar,1
bilyaran,1
bilyete,1
bilyon,40
bilyonaryo,1
bilyong,24
bilyunbilyong,1
binaba,2
binabaan,2
binababa,3
binabackstab,1
binabae,2
binabagabag,1
binabago,1
binabagong,1
binabaha,1
binabakunahan,1
binabalaan,2
binabalak,8
binabalewala,1
binabalik,1
binabalikan,1
binabaliktad,1
binabaliw,2
binabangga,1
binabanggit,4
binabangungot,1
binabantayan,5
binabasa,19
binabasado,1
binabasang,1
binabash,1
binabastos,2
binabasura,1
binabati,2
binabatikos,1
binabato,1
binabawasan,1
binabawi,1
binabayad,1
binabayaran,5
binabayarang,2
binabayong,1
binaboy,1
binagalan,1
binagay,1
binagggit,1
binaggit,2
binago,8
binagong,2
binagyan,1
binagyo,1
binaha,5
binahang,1
binakas,1
binakbakan,1
binakunahan,3
binalaan,7
binalak,4
binalatan,1
binalewala,3
binalik,2
binalikan,1
binaliktad,1
binalot,2
binalya,1
binanggit,39
binansagan,1
binansagang,1
binantaan,2
binantayan,1
binantayang,1
binarahan,1
binaril,17
binario,1
binasa,23
binasag,2
binasang,1
binasbasan,2
binash,1
binasura,2
binata,4
binatang,2
binatapagkaalam,1
binati,12
binatikos,3
binatilyo,1
binating,1
binato,4
binatong,1
binautismuhan,1
binawasan,2
binawi,7
binawian,1
binayad,3
binayaran,9
binayo,1
binebenta,1
binentahan,2
bingbing,1
bingi,5
bingit,1
bingu,1
bingwit,1
binhi,3
binibigay,5
binibigkas,2
binibigla,1
binibigyan,10
binibigyang,3
binibigyangkarapatang,1
binibilangan,1
binibili,2
binibiling,1
binibini,6
binibining,7
binibisita,3
binibitay,2
binibiyak,1
binibreak,1
binibwisit,1
binigay,25
binigo,3
binigyan,52
binigyang,7
binigyangdiin,4
binigyangsigla,1
binigyng,1
binihag,1
binilang,2
binilhan,5
binilhin,1
binili,29
binilihan,2
biniling,1
binilisan,1
binilog,1
biningyang,1
biniro,1
binisita,13
binisitahan,1
binitawan,1
binitbit,3
binitin,1
binitiwan,2
binnui,1
binobomba,1
binobroadcast,1
binoecruz,1
binomba,1
binondo,2
binoto,5
binoxout,1
binreak,1
bintana,56
bintangan,1
binturong,3
binubugbog,1
binubuhay,1
binubuksan,1
binubulay,1
binubulong,1
binubuo,22
binubuong,1
binubutas,1
binugbog,4
binugbug,1
binuhay,4
binuhos,2
binuhusan,5
binukod,1
binuksan,24
binuksang,1
binulanlang,1
binulok,1
binulong,5
binundol,1
binunot,3
binunyag,1
binuo,15
binuong,3
binurol,1
binutas,1
binuwag,2
binyagan,1
bioce,2
birhen,11
birheng,1
birtud,4
bisaya,5
biseadmiral,1
bisealkalde,1
bisekleta,2
biseksual,1
bisepresidente,1
biseresidenteng,1
bishoy,1
bisibleng,1
bisikleta,23
bisikletang,2
bisiklista,3
bisingbisi,1
bisita,38
bisitahin,7
biskuwit,1
biskwit,4
bisky,1
bisnes,1
bisperas,2
bistig,1
biswal,1
bisyo,5
bitag,12
bitak,2
bitamina,13
bitaminang,2
bitawan,1
bitay,1
bitbit,6
bitbitin,2
bitibit,1
bitsi,1
bituin,35
bituing,3
bituka,3
bituwin,19
bituwing,3
biyahe,31
biyaheng,3
biyahero,2
biyak,1
biyanan,1
biyas,1
biyaya,6
biyenan,4
biyenang,1
biyernes,79
biyolenteng,1
biyolin,1
biyolohiya,2
biyolohiyat,1
biznis,1
bizotia,1
blackpink,1
blackshot,1
blakbord,1
blangko,1
blasterq,1
blinock,1
blockmates,1
blonda,2
bloodseeker,1
bloomsburry,1
bluberi,2
blubering,2
blueacid,1
bluestack,1
blumentritt,1
blusa,2
bntot,1
boaan,1
boang,2
boarknock,1
bobbyjo,1
bobong,9
bobook,1
bobookmark,1
boboto,3
bocar,1
bochanna,1
bochog,3
bodemeister,2
bodyguarddriver,1
bogalay,1
bogli,3
bogollagama,2
bokabularyo,1
bokalista,3
boksing,2
bolabola,2
bolang,1
bolessuaf,1
bolgi,1
bolivaryan,1
bolpen,12
bolshoye,1
boluntariyo,1
boluntaryo,2
boluntaryong,4
bombahin,1
bombang,3
bombero,3
bomoto,1
bonamine,1
bondesto,1
bondpaper,1
bondservant,1
bongbong,4
bongga,2
bonggang,3
bonggangbongga,1
boobear,1
bopbop,2
bopbopbop,1
bopeep,1
bopis,1
boprotfl,2
borlog,2
borongan,1
bortolussi,2
boscat,1
bosero,1
boses,39
bosing,1
bosoboso,1
boswash,1
botaniko,1
botante,11
botelya,1
botelyang,1
boteng,1
botey,1
botika,6
botohan,34
botohana,1
botohang,2
boton,3
botong,4
boung,1
boustrophedon,1
boyfie,1
boylemariotte,1
boypren,2
bpobp,1
bportal,1
branchlet,1
brasilyan,3
brasilyang,1
braso,8
brazilyan,1
breo,1
breyndamids,1
brggemann,1
brickmann,1
brigadyer,1
brightwin,1
brillantes,1
brilyanteng,2
brip,2
britaniko,3
britanong,1
britanya,44
britong,2
broadcastin,1
brodcast,1
brodkast,7
brodkaster,1
brosyur,2
bruggemann,1
bruha,3
brunhild,2
brusa,1
brutsa,1
bside,1
bsta,1
buah,1
bubog,6
bubong,28
bubukas,3
bubuksan,7
bubungan,3
bubuo,1
bubusal,1
bubusina,1
bubusugin,1
bubuwisan,1
bubuwit,1
bubuyog,9
bucharestean,1
bucor,3
budhi,4
budismo,9
budismoy,1
budista,12
budistaanimista,1
budistang,2
budol,1
buenviaje,1
buffiring,1
bufonid,1
bugas,3
bugaw,1
bugbog,2
bughaw,11
bugok,4
bugoy,2
bugso,7
bugtong,1
buhangin,12
buhanging,1
buhat,10
buhatin,5
buhawi,10
buhayin,4
buhaying,2
buhaykapag,1
buhaylaban,1
buhket,1
buhok,79
buhol,1
buhos,1
buhrle,1
buhusan,1
buitre,1
bukal,3
bukana,2
bukang,1
bukangliwayway,4
bukas,200
bukaspalad,1
bukhang,1
bukid,34
bukiran,1
bukirin,5
buko,34
bukod,28
bukol,4
bukong,1
bukovic,1
bukoy,1
buksan,36
bukstor,1
bukudbukod,2
bukungbukong,1
bulaan,2
bulag,12
bulagan,1
bulaklak,109
bulaklakbulaklak,1
bulaklaking,1
bulalakaw,1
bulalo,1
bulasa,1
bulate,3
bulbol,2
bulcom,3
bulkan,22
bulkang,93
bulok,5
bulong,3
bulongbulungan,1
bulsa,8
bulto,1
bulubundukin,1
bulubunduking,1
bulungbulungan,2
bulwagan,3
bulwagangbayan,1
bulwak,1
bumaba,60
bumababa,12
bumabagay,1
bumabagsak,1
bumabagyo,1
bumabalik,7
bumabangon,3
bumabaril,1
bumabasa,1
bumabata,1
bumabatay,1
bumabati,5
bumabatikos,1
bumabautismo,1
bumabaw,1
bumabiyahe,3
bumagabag,1
bumagal,6
bumago,1
bumagsak,61
bumaha,3
bumahang,1
bumahin,1
bumaho,1
bumakay,1
bumalandra,1
bumalangkas,1
bumaligtad,2
bumalik,78
bumaliktad,2
bumaling,2
bumangga,11
bumanghay,1
bumangon,10
bumaril,7
bumasa,1
bumasag,4
bumata,1
bumati,10
bumatikos,1
bumato,1
bumawi,2
bumbero,15
